min_cluster_size,min_sample,n_dim,validity_index_score,noise,top_10,top_1,n_clusters,total
450,3,10,0.15106722153721117,42742,31536,7433,47,104253
450,5,10,0.17161344507466508,43128,31293,7432,44,104253
450,6,10,0.24213583078847467,40394,34503,7431,43,104253
500,7,10,0.22658167412254235,43801,34141,7431,39,104253
500,4,10,0.1638516131825501,45085,32122,7433,40,104253
500,3,10,0.1799629609978438,44287,32355,7433,41,104253
500,5,10,0.1812680496940172,44910,31916,7432,39,104253
500,6,10,0.22684154067160472,42824,34503,7431,38,104253
50,15,10,0.2507337526217535,38978,21879,4066,187,104253
50,9,10,0.28854911575841635,39111,19719,3459,208,104253
50,8,10,0.26393321051764707,38645,20698,3451,207,104253
50,10,10,0.2834610698740327,38318,21915,3976,202,104253
50,10,10,0.2834610698740327,38318,21915,3976,202,104253
60,9,10,0.2779425059417467,40487,18962,3459,184,104253
60,8,10,0.26722633827429376,41264,18607,3451,187,104253
60,10,10,0.30523236580219015,38583,21915,3976,178,104253
60,10,10,0.30523236580219015,38583,21915,3976,178,104253
60,15,10,0.21325921242709156,35445,28083,7425,154,104253
70,9,10,0.2776906381086546,39368,20476,3459,163,104253
70,8,10,0.2540316679397654,39604,20575,3451,164,104253
70,10,10,0.27746530089675364,39730,20664,3538,164,104253
70,10,10,0.27746530089675364,39730,20664,3538,164,104253
70,15,10,0.22197122669008854,36679,26642,7425,143,104253
80,9,10,0.3018690949994653,39449,20958,3459,147,104253
80,8,10,0.24428114204452414,35384,27243,7431,136,104253
80,10,10,0.25963046467599726,36412,26838,7428,137,104253
80,10,10,0.25963046467599726,36412,26838,7428,137,104253
80,15,10,0.22188249713810623,37143,26642,7425,134,104253
90,9,10,0.3029474719694951,39596,21513,3459,135,104253
90,10,10,0.2537985083561797,36049,27394,7428,130,104253
90,10,10,0.2537985083561797,36049,27394,7428,130,104253
90,8,10,0.24207371037839553,35242,27826,7431,128,104253
100,9,10,0.2714513101306406,36229,27676,7428,119,104253
90,15,10,0.21473707088234134,36772,27323,7425,127,104253
100,10,10,0.25067461498891225,36804,27394,7428,122,104253
100,8,10,0.246616262349582,35604,27826,7431,122,104253
100,15,10,0.21445746354803952,37344,27323,7425,120,104253
150,9,10,0.25251311994951436,38030,26905,7428,97,104253
100,10,10,0.25067461498891225,36804,27394,7428,122,104253
150,10,10,0.24314512517857292,37869,27394,7428,97,104253
200,9,10,0.2357262639089704,39771,26905,7428,82,104253
150,10,10,0.24314512517857292,37869,27394,7428,97,104253
150,15,10,0.21149520675478692,38733,26524,7425,99,104253
150,8,10,0.23398142429380078,38354,27039,7431,95,104253
200,10,10,0.2395147343476303,39988,27632,7428,81,104253
200,15,10,0.208895132131779,40396,27615,7425,79,104253
200,8,10,0.20898199727745428,39795,27039,7431,81,104253
200,10,10,0.2395147343476303,39988,27632,7428,81,104253
250,9,10,0.21305528131201748,38899,30795,7428,66,104253
250,10,10,0.25539965010209564,39949,30415,7428,65,104253
250,15,10,0.21880613893469036,41189,27357,6552,70,104253
250,8,10,0.2063096136838312,38593,30366,7431,67,104253
250,10,10,0.25539965010209564,39949,30415,7428,65,104253
300,9,10,0.22676449413991448,40509,30733,6625,59,104253
300,10,10,0.24563388579514034,40153,32063,6586,57,104253
300,15,10,0.19080382197083612,38758,33080,6955,58,104253
