,28.0,24.0,14.0,19.0,10.0,43.0,9.0,33.0,26.0,37.0,35.0,0.0,21.0,42.0,15.0,11.0,30.0,22.0,39.0,5.0,1.0,18.0,2.0,23.0,27.0,13.0,17.0,41.0,12.0,34.0,32.0,3.0,6.0,38.0,25.0,31.0,20.0,4.0,36.0,7.0,40.0,8.0,29.0,16.0
79,sancheveteya,muertedigna,lonuestroprimero,ampliarescudosocial,debatedeinvestidura,activemosespaña,balonmano,murcia,ifema,comitéfederal,empleo,cataluña,memoria,ultimahora,vigo,zaindugaitezen,arrimadas,elnegociodelacaza,mociónseptiembre,,portugal,,abogadosdeatocha,españaquieretrabajar,cataluña,palencia,sordoceguera,orgullososdenuestrossacerdotes,pozuelodecalatrava,gobiernogranhermano,pandemia,sevilla,motivosparalamocion,,cambioclimático,domingoderamos,coletasrata,,ingresominimovital,,ángelgurría,,,
80,sebuscaministro,rompamoslacadena,baixalimia,diadelautismo,educación,faselibertad,paces,andalucía,discapacidad,laespañaquequeremos,lonuestroprimero,comisiondefensa,lgtbi,inclusión,reyesmagos2020,wef,viviendadigna,pandemia,bolivia,,europa,,asambleabierta,1demayo,solidaridad,diamundialatencionprimaria,activemosespaña,comisiónsanidad,alcazardesanjuan,empleo,orgullosegoviano,caravanaporlalibertad,,,solayborracha,igualdad,educación,,diamundialpersonasrefugiadas,,escándalo,,,
81,diadellibro2020,tvemanipuladora,xurés,fuertesyunidos,castellón,blacklivesmatter,corraldecva,buenosdías,vox,democraciaparticipativa,vox,ilpjusapol,vuelveparadores,paguita,xivlegislatura,oms,gobiernoprogresista,alopresidente,sardine,,euco,,gobiernocriminal,automóvil,colaboración,coronabonos,seguridadvial,gobierno,votorogado,pp,40aniversario,gobiernodelbulo,,,los52devox,violenciadegénero,laculturaessegura,,reformalaboral,,estevirusloparamosjuntos,,,
82,penocongreso,carlossainz,solvay,emergenciaclimática,gobiernoprogresista,lonuestroprimero,virgendelapaz,aceitedeoliva,estadodeabuso,escudosocialcoronavirus,pesca,gobiernofake,opinión,notodovale,granadanevada,blackswan,mambaforever,huesca,bellaciao,,antigitanismo,,gobiernonegligente,transporte,sostenibilidad,mordaza,cultura,teletrabajo,familiasocialista,asino,agendadiputado,minutodesilencio,,,matemáticasparaprogres,estadodeemergencia,boboprogre,,15añoshaciendohistoria,,reproches,,,
83,ryanair,campeon,covid,unióneuropea,niunamenos,valladolid,sesiondeinvestura,deporte,pleno,sinbiodiversidadnohayvida,imv,escudosocialcoronavirus,pedrosánchez,elingresomásdigno,valladolid,cisnenegro,inmemoriam,16mayo,ocde,,motivosparalamocion,,leerparacreer,seguro,galicia,ahoratocalucharjuntos,vox,mordaza,sesiondecontrol,yotambiensoymacarenaolona,infocoronavirus,marlaskadimision,,,violenciadegenero,lamordaza,cloacas,,ligaprofesionalfemenina,,comunitatvalenciana,,,
84,ere,fakenews,federal,ayudas,agendaurbana,podemos,puertollano,enmarchatodosunidos,estadodealarma,china,voxhablaporti,aplauso,ue,shavuot,wuhan,economíaazul,cataluña,activemosespaña,oms,,asunciondelavirgenmaria,,ytanpancho,sniace,xivlegislatura,marlaska,diaeuropeodelamusica,marlaska,yasítodo,primerviernesdemayo,maestra,ciudadreal,,,vistalegreiii,lorca,motivosparalamocion,,empleodecente,,mataraabascal,,,
85,santjordi2020,gencat,eselmarxismoestúpidos,autónomos,transparencia,libertad,noria,,oficialida,canadiense,vigo,voxextremanecesidad,vividores,agrícola,congreso,cannabis,consensojusticia,cmin,violenciamachista,,nitdelaroà,,quenadiesequedeatrás,protegemosmadrid,escaño1310,berlin,paro,ahoratocalucharjuntos,santandercyle20,almemdrón,lacafetera,lutooficial,,,cpac2020,mascarillas,mocionseptiembre,,congreso,,ávila,,,
86,díadellibro,quedateencasa,violenciamachista,gobierno,participación,motivosparalamoción,casadoesp,,diadeleslletres,leylibertadsexual,galicia,tokio,puentegenil,ganadero,yositecreo,felizjueves,estevirusloparamisunidos,gobiernodelbulo,mercadosmunicipaleslpgc,,lacafetera,,seguimos,alopresidente,moratoria,petersbergclimatedialogue,ourense,trecetv,ábalosdimisión,málaga,amazon,sisepuede,,,españaviva,libertaddeprensa,motivosparalamoción,,fasedeascenso,,psoe,,,
87,unañosinalfredo,oráculo,felpeyu,persemprecarme,investidurasanchez,xivlegislatura,comunitat,,regularizacionya,gensanta,diamundialdelperro,gamer,patrimonio,familiasnumerosas,elairevisible,abalosgate,justiciasocial,gitana,comprasostenible,,mocionseptiembre,,adelante,nocierresmicole,hipotecas,murcia,hablamosporti,interconomia,consejo,galiciadeloito,regióndemurcia,antifa,,,feministasliberales,bulos,,,culturalyeclano,,miente,,,
88,diainternacionalenfermeria,mujer,semananegra,losabían,emergenciaclimática,gobiernodeespaña,graciasamancio,,escudosocial,hijosdeeta,motivosparalamoción,unidaspodemos,arqueología,díamundialdelmedioambiente,saludpública,agentes,parlament,ciudadreal,quesoycompañerocoño,,alicante,,semanasanta,consejodeministros,8m2020,2demayo,12j,1mayo,competitividad,antifascista,leydelibertadessexuales,andalucia,,,aavv,covid__19,,,somosyeclano,,estadodeabuso,,,
